,English,Meaning
937,exist,have a presence
938,pattern,"a repeated design, structure, or arrangement"
939,skin,a natural protective body covering and site of the sense of touch
940,agent,a representative who acts on behalf of others
941,owner,a person who owns something
942,machine,a mechanical or electrical device that transmits energy
943,gas,state of matter distinguished from solid and liquid states
944,down,in a lower place or position
945,ahead,at or in the front
946,generation,group of genetically related organisms in a line of descent
947,commercial,connected with or engaged in the exchange of goods
948,address,the place where a person or organization can be found
949,cancer,a malignant growth caused by uncontrolled cell division
950,test,standardized procedure for measuring sensitivity or aptitude
951,item,a distinct part that can be specified separately in a group
952,reality,the state of being actual
953,coach,a vehicle carrying many passengers
954,step,the act of changing location by raising the foot and setting it down
955,Mrs,a form of address for a married woman
956,yard,enclosed land around a house or other building
957,beat,hit repeatedly
958,violence,a turbulent state resulting in injuries and destruction
959,total,the whole amount
960,tend,have a disposition to do or be something; be inclined
961,investment,laying out money or capital in an enterprise
962,discussion,an extended communication dealing with a particular topic
963,finger,any of the terminal members of the hand
964,garden,a plot of ground where plants are cultivated
965,notice,the act of paying attention
966,collection,the act of gathering something together
967,modern,ahead of the times
968,task,any piece of work that is undertaken or attempted
969,partner,a person who is a member of a cooperative relationship
970,positive,characterized by or displaying affirmation or acceptance
971,civil,of or occurring between or among citizens of the state
972,kitchen,a room equipped for preparing meals
973,consumer,a person who uses goods or services
974,shot,the act of firing a projectile
975,budget,a summary of intended expenditures
976,wish,an expression of some desire or inclination
977,painting,creating a picture with paints
978,scientist,a person with advanced knowledge of empirical fields
979,safe,free from danger or the risk of harm
980,agreement,"harmony of people's opinions, actions, or characters"
981,capital,a large alphabetic character used in writing or printing
982,mouth,the opening through which food is taken in
983,victim,an unfortunate person who suffers from adverse circumstances
984,newspaper,a daily or weekly publication on folded sheets
985,instead,"in place of, or as an alternative to"
986,threat,declaration of an intention to inflict harm on another
987,responsibility,the social force that binds you to a course of action
988,smile,a facial expression with the corners of the mouth turned up
989,attorney,a professional person authorized to practice law
990,score,a number that expresses accomplishment in a game or contest
991,account,a record or narrative description of past events
992,interesting,catching or holding your attention
993,break,destroy the integrity of
994,audience,a gathering of spectators or listeners at a performance
995,rich,possessing material wealth
996,dinner,the main meal of the day served in the evening or at midday
997,figure,alternate name for the body of a human being
998,vote,a choice made by counting people in favor of alternatives
999,western,lying toward or situated in the west
1000,relate,give an account of
1001,travel,change location
1002,debate,a discussion with reasons for and against some proposal
1003,prevent,keep from happening or arising; make impossible
1004,citizen,a native or naturalized member of a state
1005,majority,the main part
1006,none,not at all or in no way
1007,front,the side that is forward or prominent
1008,born,brought into existence
1009,admit,declare to be true or accept the reality of
1010,senior,advanced in years
1011,assume,take to be the case or to be true
1012,wind,air moving from high pressure to low pressure
1013,key,metal device that allows a lock's mechanism to be rotated
1014,professional,of or relating to or suitable as an occupation
1015,mission,an operation that is assigned by a higher headquarters
1016,fast,"acting, moving, or capable of acting or moving quickly"
1017,alone,isolated from others
1018,customer,someone who pays for goods or services
1019,suffer,undergo or be subjected to
1020,speech,communication by word of mouth
1021,successful,having succeeded or being marked by a favorable outcome
1022,option,one of a number of things from which only one can be chosen
1023,participant,someone who is involved in an activity
1024,southern,situated in or oriented toward the south
1025,fresh,"recently made, produced, or harvested"
1026,eventually,after an unspecified period of time or a long delay
1027,no,quantifier
1028,forest,"a large, densely wooded area filled with trees and plants"
1029,video,broadcasting visual images of stationary or moving objects
1030,global,involving the entire earth
1031,Senate,the upper house of the United States Congress
1032,reform,make changes for improvement to remove abuse and injustices
1033,access,the right to enter
1034,restaurant,a building where people go to eat
1035,judge,an official who decides questions before a court
1036,publish,prepare and issue for public distribution or sale
1037,cost,be priced at
1038,relation,the state or quality of having something in common
1039,like,having the same or similar characteristics
1040,release,grant freedom to; free from confinement
1041,own,belonging to or on behalf of a specified person
1042,bird,warm-blooded egg-laying vertebrate with feathers and wings
1043,opinion,a personal belief or judgment
1044,credit,an estimate of ability to fulfill financial commitments
1045,critical,of a serious examination and judgment of something
1046,corner,the point where three areas or surfaces meet or intersect
1047,concerned,feeling or showing worry about something
1048,recall,bring to mind
1049,version,something a little different from others of the same type
1050,stare,look at with fixed eyes
1051,safety,being certain that adverse effects will not be caused
1052,effective,producing or capable of producing an intended result
1053,neighborhood,an area within a city or town that has distinctive features
1054,original,preceding all others in time
1055,act,behave in a certain manner
1056,troop,a group of soldiers
1057,income,the amount of money one makes over a period of time
1058,directly,without turning aside from your course
1059,hurt,be the source of pain
1060,species,taxonomic group whose members can interbreed
1061,immediately,without delay or hesitation; with no time intervening
1062,track,a line or route along which something travels or moves
1063,basic,reduced to the simplest and most significant form possible
1064,strike,"deliver a sharp blow, as with the hand, fist, or weapon"
1065,hope,the general feeling that some desire will be fulfilled
1066,sky,the atmosphere and outer space as viewed from the earth
1067,freedom,the condition of being free
1068,absolutely,totally and definitely; without question
1069,plane,an unbounded two-dimensional shape
1070,nobody,a person of no influence
1071,achieve,gain with effort
1072,object,a tangible and visible entity
1073,attitude,a complex mental state involving beliefs and feelings
1074,labor,any piece of work that is undertaken or attempted
1075,refer,make a remark that calls attention to
1076,concept,an abstract or general idea inferred from specific instances
1077,client,someone who pays for goods or services
1078,powerful,having great force or effect
1079,perfect,being complete of its kind and without defect or blemish
1080,nine,the cardinal number that is the sum of eight and one
1081,therefore,as a result; from that fact or reason
1082,conduct,the way a person behaves toward other people
1083,announce,make known
1084,conversation,the use of speech for informal exchange of views or ideas
1085,examine,"observe, check out, and look over carefully or inspect"
1086,touch,"make physical contact with, come in contact with"
1087,please,give enjoyment to
1088,attend,be present
1089,completely,with everything necessary
1090,vote,a choice made by counting people in favor of alternatives
1091,variety,a category of things distinguished by a common quality
1092,sleep,a natural and periodic state of rest
1093,turn,move around an axis or a center
1094,involved,connected by participation or association or use
1095,investigation,an inquiry into unfamiliar or questionable activities
1096,nuclear,constituting the core or central part
1097,researcher,a scientist devoted to systematic investigation
1098,press,put pressure or force upon something
1099,conflict,an open clash between two opposing groups
1100,spirit,the vital principle or animating force within living things
1101,experience,the content of observation or participation in an event
1102,replace,put something back where it belongs
1103,British,of or relating to or characteristic of Great Britain or its people or culture
1104,encourage,inspire with confidence
1105,lot,anything (straws or pebbles etc.) taken or chosen at random
1106,lot,anything (straws or pebbles etc.) taken or chosen at random
1107,lot,anything (straws or pebbles etc.) taken or chosen at random
1108,lot,anything (straws or pebbles etc.) taken or chosen at random
1109,argument,a dispute where there is strong disagreement
1110,by,so as to pass a given point
1111,once,on one occasion
1112,camp,temporary lodgings in the country for travelers
1113,brain,the organ that is the center of the nervous system
1114,feature,a prominent attribute or aspect of something
1115,afternoon,the part of the day between noon and evening
1116,AM,modulation of the amplitude of the (radio) carrier wave
1117,weekend,a time period usually extending from Friday night through Sunday; more loosely defined as any period of successive days including one and only one Sunday
1118,dozen,the cardinal number that is the sum of eleven and one
1119,possibility,capability of existing or happening or being true
1120,along,in line with a length or direction
1121,insurance,protection against future loss
1122,department,a specialized division of a large organization
1123,battle,a hostile meeting of opposing military forces
1124,beginning,the act of starting something
1125,date,the specified day of the month
1126,generally,usually; as a rule
1127,African,a native or inhabitant of Africa
1128,very,being the exact same one; not any other:
1129,sorry,feeling or expressing regret
1130,crisis,a crucial stage or turning point in the course of something
1131,complete,having all necessary qualities
1132,fan,a device for creating a current of air by movement
1133,stick,a long thin implement resembling a length of wood
1134,define,show the form or outline of
1135,easily,with ease (`easy' is sometimes used informally for `easily')
1136,through,having finished or arrived at completion
1137,hole,an opening into or through something
1138,element,a substance that cannot be separated into simpler substances
1139,vision,the ability to see
1140,status,the condition or someone or something at a particular time
1141,normal,being approximately average or within certain limits
1142,Chinese,of or pertaining to China or its peoples or cultures
1143,ship,a vessel that carries passengers or freight
1144,solution,a homogeneous mixture of two or more substances
1145,stone,a lump or mass of hard consolidated mineral matter
1146,slowly,without speed
1147,scale,an ordered reference standard
1148,bit,a small piece or quantity of something
1149,university,an institution of higher learning that grants degrees
1150,introduce,bring something new to an environment
1151,driver,someone who drives animals that pull a vehicle
1152,attempt,make an effort
1153,park,a piece of open land for recreational use in an urban area
1154,spot,a point located with respect to surface features of some region
1155,lack,the state of needing something that is absent or unavailable
1156,ice,water frozen in the solid state
1157,boat,a small vessel for travel on water
1158,drink,take in liquids
1159,sun,the star that is the source of light and heat for the planets in the solar system
1160,front,the side that is forward or prominent
1161,distance,the property created by the space between two objects
1162,wood,the hard fibrous lignified substance under the bark of trees
1163,handle,"touch, lift, or hold"
1164,truck,an automotive vehicle suitable for hauling
1165,return,"go or come back to place, condition, or activity where one has been before"
1166,mountain,a land mass that projects well above its surroundings
1167,survey,determining opinions by interviewing people
1168,supposed,required or under orders
1169,tradition,a specific practice of long standing
1170,winter,the coldest season of the year
1171,village,a settlement smaller than a town
1172,Soviet,of or relating to or characteristic of the former Soviet Union or its people
1173,refuse,show unwillingness towards
1174,sales,income (at invoice values) received for goods and services over some given period of time
1175,roll,move by turning over or rotating
1176,communication,the activity of conveying information
1177,run,move fast by using one's feet
1178,screen,partition consisting of a decorative frame or panel that serves to divide a space
1179,gain,obtain
1180,resident,someone who lives at a particular place for a long period
1181,hide,prevent from being seen or discovered
1182,gold,a soft yellow malleable ductile metallic element
1183,club,a formal association of people with similar interests
1184,future,the time yet to come
1185,farm,workplace or land used for growing crops or raising animals
1186,potential,existing in possibility
1187,increase,a process of becoming larger or longer or more numerous
1188,middle,an area that is approximately central within some larger region
1189,European,of or relating to or characteristic of Europe
1190,presence,current existence
1191,independent,free from external control and constraint
1192,district,a region marked off for administrative or other purposes
1193,shape,a perceptual structure
1194,reader,a person who can read; a literate person
1195,Ms,a form of address for a woman
1196,contract,a binding agreement that is enforceable by law
1197,crowd,a large number of things or people considered together
1198,Christian,a religious person who believes Jesus is the savior
1199,express,communicate beliefs or opinions
1200,apartment,a home in a building divided into separate dwellings
1201,willing,the act of making a choice
1202,strength,the property of being physically or mentally powerful
1203,previous,just preceding something else in time or order
1204,band,an unofficial association of people or groups
1205,obviously,unmistakably
1206,horse,solid-hoofed herbivorous quadruped domesticated since prehistoric times
1207,interested,showing curiosity or fascination or concern
1208,target,a reference point to shoot at
1209,prison,a correctional institution where persons are confined while on trial or for punishment
1210,ride,"sit and travel on the back of animal, usually while controlling its motions"
1211,guard,watch over or shield from danger or harm
1212,terms,status with respect to the relations between people or groups
1213,demand,request urgently and forcefully
1214,reporter,a person who investigates or communicates news stories
1215,deliver,bring to a destination
1216,text,the words of something written
1217,share,assets belonging to an individual person or group
1218,tool,an implement used to perform a task or job
1219,wild,in a natural state; not tamed or domesticated or cultivated
1220,vehicle,a conveyance that transports people or objects
1221,observe,watch attentively
1222,flight,an instance of traveling by air
1223,inside,relating to or being on the side closer to the center or within a defined space
1224,facility,a building or place that provides a particular service
1225,understanding,the condition of someone who knows and comprehends
1226,average,an intermediate scale value regarded as normal or usual
1227,emerge,"come out into view, as from concealment"
1228,advantage,the quality of having a superior or more favorable position
1229,quick,moving rapidly and lightly
1230,light,electromagnetic radiation that can produce visual sensation
1231,leadership,the status of being in charge
1232,earn,acquire or deserve by one's efforts or actions
1233,pound,16 ounces avoirdupois
1234,basis,the fundamental assumptions from which something is begun
1235,bright,emitting or reflecting light readily or in large amounts
1236,operate,perform as expected when applied
1237,guest,a visitor to whom hospitality is extended
1238,sample,a small part intended as representative of the whole
1239,contribute,"give, provide, or supply something"
1240,tiny,very small
1241,block,obstruct
1242,protection,the activity of shielding someone or something
1243,settle,"become resolved, fixed, established, or quiet"
1244,feed,provide as food
1245,collect,gather
1246,additional,further or extra
1247,while,a period of indeterminate length marked by some action
1248,highly,to a great degree or extent; favorably or with much respect
1249,identity,the characteristics by which a thing or person is known
1250,title,the name of a work of art or literary composition
1251,mostly,in large part; mainly or chiefly
1252,lesson,the significance of a story or event
1253,faith,"complete confidence in a person or plan, etc."
1254,river,a large natural stream of water (larger than a creek)
1255,promote,assign to a higher position
1256,living,pertaining to living persons
1257,present,happening or existing now
1258,count,determine the number or amount of
1259,marry,become someone's spouse
1260,tomorrow,the day after today
1261,technique,a practical method or art applied to some particular task
1262,path,an established line of travel or access
1263,ear,the sense organ for hearing and equilibrium
1264,shop,a mercantile establishment for the retail sale of goods or services
1265,folk,people in general (often used in the plural)
1266,order,logical arrangement of different elements
1267,principle,a basic generalization that is accepted as true
1268,survive,continue in existence after
1269,lift,raise from a lower to a higher position
1270,border,the boundary of a surface
1271,competition,the act of contending with others for rewards or resources
1272,jump,move forward by leaps and bounds
1273,gather,assemble or get together
1274,limit,as far as something can go
1275,fit,meeting adequate standards for a purpose
1276,claim,assert or affirm strongly
1277,cry,"shed tears because of sadness, rage, or pain"
1278,equipment,an instrumentality needed for an undertaking
1279,worth,the quality of being desirable or valuable
1280,associate,bring or come into action
1281,critic,a person engaged in the analysis and interpretation of art
1282,warm,having or producing a comfortable and agreeable degree of heat or imparting or maintaining heat
1283,aspect,a characteristic to be considered
1284,result,something that follows as a consequence
1285,insist,be emphatic or resolute and refuse to budge
1286,failure,an act that does not succeed
1287,annual,occurring every year
1288,French,of or pertaining to France or the people of France
1289,Christmas,a Christian holiday celebrating the birth of Christ
1290,comment,a statement that expresses a personal opinion
1291,responsible,worthy of or requiring trust; held accountable
1292,affair,a vaguely specified social event
1293,approach,move towards
1294,procedure,a particular course of action intended to achieve a result
1295,regular,conforming to a standard or pattern
1296,spread,distribute or disperse widely
1297,chairman,the officer who leads the meetings of an organization
1298,baseball,a ball game between two teams of nine players
1299,soft,yielding readily to pressure or weight
1300,ignore,refuse to acknowledge
1301,egg,animal reproductive body consisting of an ovum or embryo together with nutritive and protective envelopes; especially the thin-shelled reproductive body laid by e.g. female birds
1302,measure,determine the dimensions of something or somebody
1303,belief,any cognitive content held as true
1304,demonstrate,give an exhibition of to an interested audience
1305,murder,unlawful premeditated killing of a human being
1306,gift,something acquired without compensation
1307,religion,a strong belief in supernatural powers that control destiny
1308,review,look at again; examine again
1309,editor,the person who determines the final content of a text
1310,past,earlier than the present time; no longer current
1311,engage,consume all of one's attention or time
1312,coffee,a beverage consisting of an infusion of ground coffee beans
1313,document,a representation of a person's thinking with symbolic marks
1314,speed,a rate at which something happens
1315,cross,a marking that consists of lines that intersect each other
1316,influence,a power to affect persons or events
1317,anyway,in any way whatsoever
1318,threaten,utter intentions of injury or punishment against
1319,commit,engage in or perform
1320,female,of the sex that produces eggs from which offspring develop
1321,youth,a person who is not yet old
1322,wave,(physics) a movement up and down or back and forth
1323,move,change location
1324,afraid,filled with fear or apprehension
1325,quarter,one of four equal parts
1326,background,the part of a scene behind objects in the front
1327,native,belonging to one by birth
1328,broad,having great extent from one side to the other
1329,wonderful,extraordinarily good or great
1330,deny,declare untrue; contradict
1331,apparently,seemingly; as far as one can tell
1332,slightly,to a small degree or extent
1333,reaction,an idea evoked by some experience
1334,twice,two times
1335,suit,a set of garments for outerwear of the same fabric and color
1336,perspective,a way of regarding situations or topics
1337,growing,relating to or suitable for growth
1338,blow,be in motion due to some air or water current
1339,construction,the act of building something
1340,kind,having a tender and considerate and helpful nature
1341,intelligence,the ability to comprehend
1342,destroy,do away with; cause the ruin or undoing of
1343,cook,transform by heating
1344,connection,a relation between things or events
1345,charge,"assign a duty, responsibility or obligation to"
1346,burn,destroy by fire
1347,shoe,footwear shaped to fit the foot (below the ankle) with a flexible upper of leather or plastic and a sole and heel of heavier material
1348,view,the visual percept of a region
1349,grade,a position on a scale of intensity or amount or quality
1350,context,the set of facts or circumstances that surround a situation
1351,committee,a special group delegated to consider some matter
1352,mistake,a wrong action attributable to bad judgment or inattention
1353,focus,the concentration of attention or energy on something
1354,smile,a facial expression with the corners of the mouth turned up
1355,location,the act of putting something in a certain place
1356,clothes,apparel in general
1357,Indian,of or relating to or characteristic of India or the East Indies or their peoples or languages or cultures
1358,quiet,characterized by an absence of agitation or activity
1359,dress,put on clothes
1360,promise,a verbal commitment agreeing to do something in the future
1361,aware,having or showing knowledge or understanding or realization
1362,neighbor,a person who lives near another
1363,complete,having all necessary qualities
1364,drive,operate or control a vehicle
1365,function,what something is used for
1366,bone,rigid tissue that makes up the skeleton of vertebrates
1367,active,characterized by energetic movement
1368,extend,"stretch out over a distance, space, time, or scope"
1369,chief,the head of a tribe or clan
1370,average,an intermediate scale value regarded as normal or usual
1371,combine,put or add together
1372,wine,fermented juice (of grapes especially)
1373,below,in or to a place that is lower
1374,cool,neither warm nor very cold; giving relief from heat
1375,voter,a citizen who has a legal right to vote
1376,mean,denote or connote
1377,demand,request urgently and forcefully
1378,learning,the cognitive process of acquiring skill or knowledge
1379,bus,a vehicle carrying many passengers
1380,hell,any place of pain and turmoil
1381,dangerous,involving or causing risk; liable to hurt or harm
1382,remind,put in the mind of someone
1383,moral,concerned with principles of right and wrong
1384,category,a general concept that marks divisions or coordinations
1385,relatively,by comparison to something else
1386,victory,a successful ending of a struggle or contest
1387,key,metal device that allows a lock's mechanism to be rotated
1388,academic,associated with an educational institution
1389,visit,the act of going to see some person or place or thing for a short time
1390,healthy,free from infirmity or disease
1391,fire,the process of combustion of inflammable materials
1392,negative,characterized by denial or opposition or resistance
1393,following,the act of pursuing in an effort to overtake or capture
1394,historical,of or relating to the study of recorded time
1395,medicine,the profession devoted to alleviating diseases and injuries
1396,tour,a route all the way around a particular place or area
1397,depend,be determined by something else
1398,photo,a representation of a person or scene in the form of a print or transparent slide; recorded by a camera on light-sensitive material
1399,finding,something that is discovered
1400,grab,take or seize suddenly
1401,direct,proceeding without interruption
1402,classroom,a room in a school where lessons take place
1403,contact,the act of touching physically
1404,justice,"the quality of being fair, reasonable, or impartial"
1405,participate,be involved in
1406,daily,of or belonging to or occurring every day
1407,fair,"free from favoritism, bias, or deception"
1408,pair,a set of two similar things considered as a unit
1409,famous,widely known and esteemed
1410,exercise,the activity of exerting muscles to keep fit
1411,knee,hinge joint in the human leg connecting the tibia and fibula with the femur and protected in front by the patella
1412,flower,reproductive organ of plants especially if showy or colorful
1413,tape,a long thin piece of cloth or paper as used for binding or fastening
1414,hire,engage or hire for work
1415,familiar,a friend who is frequently in the company of another
1416,appropriate,"suitable for a particular person, place, or situation"
1417,supply,circulate or distribute or equip with
1418,fully,to the greatest degree or extent; completely or entirely;
1419,cut,separate with or as if with an instrument
1420,will,the capability of conscious choice and decision
1421,actor,"a performer in theater, television, or film"
1422,birth,the time when something begins (especially life)
1423,search,look or seek
1424,tie,"fasten or secure with a rope, string, or cord"
1425,democracy,the orientation of those who favor government by the people
1426,eastern,lying toward or situated in the east
1427,primary,of first rank or importance or value
1428,yesterday,the day immediately before today
1429,circle,a plane curve with every point equidistant from the center
1430,device,an instrumentality invented for a particular purpose
1431,progress,"the act of moving forward, as toward a goal"
1432,next,immediately following in time or order
1433,front,the side that is forward or prominent
1434,bottom,the lower side of anything
1435,island,a land mass that is surrounded by water
1436,exchange,the act of changing one thing for another thing
1437,clean,free from dirt or impurities
1438,studio,workplace for the teaching or practice of an art
1439,train,educate for a future role or function
1440,lady,a polite name for any woman
1441,colleague,an associate that one works with
1442,application,the action of putting something into operation
1443,neck,the part of an organism (human or animal) that connects the head to the rest of the body
1444,lean,incline or bend from a vertical position
1445,damage,the occurrence of a change for the worse
1446,plastic,synthetic material that can be molded into objects
1447,tall,great in vertical dimension; high in stature
1448,plate,dish on which food is served or from which food is eaten
1449,hate,the emotion of intense dislike
1450,otherwise,in another and different manner
1451,writing,symbols imprinted on a surface to represent sounds or words
1452,press,put pressure or force upon something
1453,male,being the sex that performs the fertilizing function
1454,start,take the first step or steps in carrying out an action
1455,alive,possessing life
1456,expression,the communication of your beliefs or opinions
1457,football,a team sport played with an oval or round ball
1458,intend,have in mind as a purpose
1459,attack,an offensive against an enemy
1460,chicken,a domestic bird bred for meat or eggs
1461,army,a permanent organization of a nation's military land forces
1462,abuse,cruel or inhumane treatment
1463,theater,a building where performances can be presented
1464,shut,move so that an opening or passage is obstructed; make shut
1465,map,a diagrammatic representation of the earth's surface
1466,extra,"more than is needed, desired, or required"
1467,session,a meeting for execution of a group's functions
1468,danger,the condition of being susceptible to harm or injury
1469,welcome,the state of being received with pleasure
1470,domestic,of or relating to the home
1471,lots,a large number or amount
1472,literature,writings in a particular style on a particular subject
1473,rain,water falling in drops from vapor in the atmosphere
1474,desire,the feeling that accompanies an unsatisfied state
1475,assessment,the act of judging a person or situation or event
1476,injury,physical damage to the body caused by violence or accident
1477,respect,regard highly; think much of
1478,northern,situated in or oriented toward the north
1479,nod,"lower and raise the head, as to indicate assent or agreement or confirmation"
1480,paint,a substance used as a coating to protect or decorate a surface (especially a mixture of pigment suspended in a liquid); dries to form a hard coating
1481,fuel,a substance that can be consumed to produce energy
1482,leaf,the collective amount of leaves of one or more plants
1483,direct,proceeding without interruption
1484,dry,free from liquid or moisture
1485,Russian,of or pertaining to or characteristic of Russia or its people or culture or language
1486,instruction,activities that impart knowledge or skill
1487,fight,be engaged in a contest or struggle
1488,pool,a small body of standing water or other liquid
1489,climb,go up or advance
1490,sweet,having or denoting the characteristic taste of sugar
1491,lead,take somebody somewhere
1492,engine,motor that converts energy into work or motion
1493,fourth,following the third position
1494,salt,white crystalline form of especially sodium chloride used to season and preserve food
1495,expand,extend in one or more directions
1496,importance,the quality of being significant or worthy of note
1497,metal,a chemical element or alloy that is usually a shiny solid
1498,fat,a soft greasy substance occurring in organic tissue
1499,ticket,a commercial document showing that the holder is entitled to something (as to ride on public transportation or to enter a public entertainment)
1500,software,written programs operating on a computer system
1501,disappear,become invisible or unnoticeable
1502,corporate,of or belonging to a business firm
1503,strange,unusual or out of the ordinary
1504,lip,either of two fleshy folds of tissue that surround the mouth and play a role in speaking
1505,reading,written material intended to be read
1506,urban,relating to a city or densely populated area
1507,mental,involving the mind or an intellectual process
1508,increasingly,advancing in amount or intensity
1509,lunch,a midday meal
1510,educational,relating to the process of instruction
1511,somewhere,in or at or to some place
1512,farmer,a person who works growing crops or raising animals
1513,above,in or to a place that is higher
1514,sugar,a white crystalline carbohydrate used as a sweetener
1515,planet,a celestial body that revolves around the sun
1516,favorite,preferred above all others and treated with partiality
1517,explore,travel to or penetrate into
1518,obtain,come into possession of
1519,enemy,a personal foe
1520,greatest,highest in quality
1521,complex,complicated in structure
1522,surround,extend on all sides of simultaneously; encircle
1523,athlete,a person trained to compete in sports
1524,invite,ask someone in a friendly way to do something
1525,repeat,say or state again
1526,carefully,taking care or paying attention
1527,soul,the immaterial part of a person
1528,scientific,consistent with systematic study of the physical world
1529,impossible,not capable of happening or being done or dealt with
1530,panel,sheet that forms a distinct section of something
1531,meaning,the message that is intended or expressed or signified
1532,mom,informal terms for a mother
1533,married,joined in matrimony
1534,alone,isolated from others
1535,instrument,the means whereby some act is accomplished
1536,predict,make a guess about what will happen in the future
1537,weather,atmospheric conditions such as temperature and precipitation
1538,presidential,relating to a president or presidency
1539,emotional,of or pertaining to feelings
1540,commitment,the act of binding yourself to a course of action
1541,bear,be pregnant with
1542,pocket,a small pouch inside a garment for carrying small articles
1543,thin,of relatively small extent from one surface to the opposite
1544,temperature,the degree of hotness or coldness of a body or environment
1545,surprise,come upon or take unawares
1546,poll,the counting of votes (as in an election)
1547,proposal,the act of making a suggestion
1548,consequence,a phenomenon that is caused by some previous phenomenon
1549,half,one of two equal parts of a divisible whole
1550,breath,the process of taking in and expelling air during breathing
1551,sight,the ability to see; the visual faculty
1552,cover,provide with a covering or cause to be covered
1553,balance,harmonious arrangement or relation of parts within a whole
1554,adopt,take into one's family
1555,minority,being or relating to the smaller in number of two parts
1556,straight,having no deviations
1557,attempt,make an effort
1558,connect,fasten or put together two or more pieces
1559,works,performance of moral or religious acts
1560,teaching,the activities of educating or instructing
1561,belong,be owned by; be in the possession of
1562,aid,the activity of contributing to the fulfillment of a need
1563,advice,a proposal for an appropriate course of action
1564,okay,being satisfactory or in satisfactory condition
1565,photograph,a representation of a person or scene in the form of a print
1566,empty,holding or containing nothing
1567,regional,characteristic of a particular area
1568,trail,a path or track
1569,novel,an extended fictional work in prose
1570,code,a set of rules or principles or laws
1571,somehow,in some unspecified way or manner
1572,organize,arrange by systematic planning and united effort
1573,jury,a body of citizens sworn to give a verdict in a court of law
1574,breast,either of two soft fleshy milk-secreting glandular organs on the chest of a woman
1575,Iraqi,a native or inhabitant of Iraq
1576,human,a person; a hominid with a large brain and articulate speech
1577,acknowledge,declare to be true or admit the existence or reality of
1578,theme,the subject matter of a conversation or discussion
1579,storm,a violent weather condition with winds 64-72 knots (11 on the Beaufort scale) and precipitation and thunder and lightning
1580,union,the state of being joined or united or linked
1581,record,anything providing permanent evidence about past events
1582,desk,a piece of furniture with a writing surface and usually drawers or other compartments
1583,fear,an emotion in anticipation of some specific pain or danger
1584,thanks,an acknowledgment of appreciation
1585,fruit,the ripened reproductive body of a seed plant
1586,under,below some quantity or limit
1587,expensive,high in price or charging high prices
1588,yellow,yellow color or pigment
1589,conclusion,a position or opinion reached after consideration
1590,prime,of or relating to the first or originating agent
1591,shadow,a dark shape created by an object blocking a source of light
1592,struggle,strenuous effort
1593,conclude,bring to a close
1594,analyst,someone who is skilled at interpreting data
1595,dance,taking a series of rhythmical steps in time to music
1596,limit,as far as something can go
1597,like,having the same or similar characteristics
1598,regulation,the act of bringing to uniformity
1599,being,the state or fact of existing
1600,last,coming after all others in time or space or degree or being the only one remaining
1601,ring,a toroidal shape
1602,largely,mainly or chiefly
1603,shift,move very slightly
1604,revenue,the entire amount of income before any deductions are made
1605,mark,a distinguishing symbol
1606,locate,determine the place of by searching or examining
1607,county,the largest administrative district within a state
1608,appearance,outward or visible aspect of a person or thing
1609,package,a wrapped container
1610,difficulty,an effort that is inconvenient
1611,bridge,structure allowing passage across a river or other obstacle
1612,recommend,express a good opinion of
1613,obvious,easily perceived by the senses or grasped by the mind
1614,train,educate for a future role or function
1615,basically,in essence; at bottom or by one's (or its) very nature
1616,e-mail,(computer science) a system of world-wide electronic communication in which a computer user can compose a message at one terminal that can be regenerated at the recipient's terminal when the recipient logs in
1617,generate,bring into existence
1618,anymore,at the present or from now on; usually used with a negative
1619,propose,"present for consideration, examination, or criticism"
1620,thinking,endowed with the capacity to reason
1621,possibly,to a degree possible of achievement or by possible means
1622,trend,"a general tendency to change, as of opinion"
1623,visitor,someone who visits
1624,loan,the temporary provision of money (usually at interest)
1625,currently,at this time or period
1626,comfortable,providing or experiencing physical well-being or relief
1627,investor,someone who commits capital to gain financial returns
1628,but,and nothing more
1629,profit,the advantageous quality of being beneficial
1630,angry,feeling or showing extreme displeasure or hostility
1631,crew,an organized group of workers
1632,deep,having great spatial extension downward or inward
1633,accident,an unfortunate mishap
1634,male,being the sex that performs the fertilizing function
1635,meal,any of the occasions for eating food that occur by custom or habit at more or less fixed times
1636,hearing,the ability to hear; the auditory faculty
1637,traffic,vehicles or pedestrians traveling in a particular locality
1638,muscle,animal tissue consisting predominantly of contractile cells
1639,notion,a general inclusive concept
1640,capture,"seize as if by hunting, snaring, or trapping"
1641,prefer,like better; value more highly
1642,truly,in accordance with fact or reality
1643,earth,the third planet from the sun
1644,Japanese,of or relating to or characteristic of Japan or its people or their culture or language
1645,chest,the part of the human torso between the neck and the diaphragm or the corresponding part in other vertebrates
1646,search,look or seek
1647,thick,not thin
1648,cash,money in the form of bills or coins
1649,museum,a building for collecting and displaying valuable objects
1650,beauty,the qualities that give pleasure to the senses
1651,emergency,a sudden unforeseen crisis that requires immediate action
1652,unique,the single one of its kind
1653,feature,a prominent attribute or aspect of something
1654,internal,located inward
1655,ethnic,distinctive of the ways of living of a group of people
1656,link,"connect, fasten, or put together two or more pieces"
1657,stress,special emphasis attached to something
1658,content,satisfied or showing satisfaction with things as they are
1659,select,pick out or choose from a number of alternatives
1660,root,underground plant organ that lacks buds or leaves or nodes
1661,nose,the organ of smell and entrance to the respiratory tract
